26,6,38,-0.03,0
36,9,35.3,0.395,0
74,7,21.15,-0.31,0
30,6,91.18,-0.615,0
32,7,93.02,-3.305,0
40,7,71.86,1.17,0
52,3,33.85,1.48,0
32,5,70.19,-0.185,0
40,5,260.81,-8.435,0
42,4,32.27,-0.05,0
32,3,87.52,-1.72,0
54,7,50.58,2.775,0
54,9,51.63,0.355,0
58,7,74.09,-1.255,0
32,7,74.37,1.535,0
40,5,76.21,1.565,0
48,6,83.58,0.895,0
50,6,93.58,4.1,0
38,5,93.2,5.01,0
38,6,71.01,-7.63,0
42,5,95.27,-7.005,0
34,7,53.76,0.345,0
34,6,236.02,15.41,0
56,9,101.17,-14.73,0
40,7,559.79,2.715,0
48,1,62.13,2.185,0
50,6,59.99,-0.025,0
54,9,33.6,1.41,0
48,7,95.1,11.945,0
52,9,91.15,0.49,0
42,4,75.57,-0.14,0
48,9,60.48,-2.33,0
52,6,10,0,0
26,3,218.86,8.7,0
40,9,120.04,-6.445,0
52,6,35.24,0.03,0
42,9,66.46,-4.12,0
56,6,31.58,1.49,0
44,9,10.7,0.235,0
36,7,34.19,-0.13,0
30,8,28.89,-1.26,0
58,8,63.13,2.76,0
52,7,46.99,4.275,0
44,6,124.2,-4.175,0
42,9,75.91,0.795,0
46,9,51.24,-1.315,0
42,5,40.05,4.715,0
26,7,36.89,0.985,0
48,5,94.2,-2.72,0
54,9,31.24,-0.04,0
46,5,35.74,-0.185,0
54,6,51.93,-1.285,0
46,8,30.27,-0.075,0
22,7,30.52,0.41,0
48,6,45.95,-3.12,0
44,5,55.26,-0.9,0
48,6,61.74,-0.86,0
38,8,148.95,9.665,0
38,9,55.58,0.65,0
46,6,36.67,3.1,0
50,7,59.23,8.49,0
30,7,36.51,0.12,0
46,6,48.93,-3.44,0
38,6,161.49,-2.29,0
36,6,40.78,-2.985,0
34,4,139.58,-0.71,0
20,5,63.37,3.66,0
52,5,50.5,-0.975,0
62,4,55.23,3.425,0
28,5,50.09,3.68,0
32,6,30.04,0.72,0
44,5,46.18,-0.635,0
42,4,60.94,-0.335,0
24,6,30.25,0.14,0
50,6,36.37,2.935,0
50,4,61.04,-5.955,0
34,9,28.67,-0.5,0
42,8,76.78,-1.725,0
26,6,81.52,-0.51,0
66,4,39.11,-0.035,0
50,6,59.81,-2.855,0
38,6,80.63,-4.405,0
64,9,53.45,-3.915,0
28,4,35.74,0.935,0
44,4,165.18,0.475,0
72,4,73.6,3.055,0
26,8,52.85,-0.63,0
48,9,62.57,-0.1,0
22,6,52.66,1.94,0
28,7,20.17,0.2,0
40,5,30.26,0.595,0
34,5,20.75,0.05,0
40,4,51.03,-1.05,0
28,5,34.98,0.195,0
50,6,15.42,-0.94,0
26,7,60.37,-0.295,0
50,7,122.94,4.18,0
46,7,41.46,-9.08,0
56,2,38.48,-0.71,0
32,6,160.42,-4.105,0
48,9,69.51,6.705,0
26,5,50,1.485,0
50,6,163.46,0.25,0
54,9,230.01,-10.84,0
26,4,57.84,3.96,0
46,6,35.18,-0.64,0
62,6,116.04,-0.695,0
54,6,33.24,1.655,0
32,5,229.96,10.6,0
52,8,33.2,-0.625,0
36,6,72.91,-2.2,0
42,2,195.57,3.885,0
36,8,31.5,-0.365,0
36,4,86.8,3.93,0
52,6,64.07,6,0
38,8,51.35,0.16,0
48,2,142.11,1.03,0
60,8,142.63,-0.025,0
48,6,30.97,0.305,0
24,1,50.55,-1.39,0
46,6,34.9,2.955,0
44,6,30.77,-1.225,0
26,8,19.72,1.435,0
44,9,60.24,-3.4,0
44,9,17.12,-0.515,0
24,6,30.07,1.015,0
24,6,10.2,0.02,0
62,6,36.33,-1.295,0
42,9,21.83,-0.815,0
42,7,57.2,-1.355,0
40,1,337.01,-13.69,0
76,7,17.14,0,0
24,6,79.89,0.095,0
38,7,24.02,0.06,0
80,5,17.15,0.24,0
40,3,118.33,7.17,0
38,7,17.87,-0.17,0
52,9,17.71,1.04,0
48,9,16.99,-0.125,0
48,7,19.24,0.98,0
36,6,72.65,-8.09,0
40,8,17.15,0.395,0
70,7,59,0.32,0
42,6,117.49,4.57,0
44,6,17.15,-0.01,0
40,6,32.01,-1.71,0
42,4,33.67,-1.155,0
54,7,20.41,-1.48,0
26,3,85.73,0.22,0
58,9,54.77,0.17,0
50,7,50.93,5.115,0
42,8,59.58,-2.79,0
46,6,73.35,-0.465,0
52,5,85.78,0.05,0
46,5,65.25,1.605,0
48,6,69.89,1.13,0
46,6,5.3,-0.13,0
66,6,33.3,-5.34,0
44,9,69.73,-0.41,0
52,9,119.04,-4.7,0
42,6,33.17,-1.465,0
46,6,95.35,-7.605,0
36,8,95.98,-2.635,0
60,6,88.98,0,0
32,2,60.41,1.635,0
58,6,30,-0.555,0
40,6,60.17,0.58,0
26,6,91.99,4.535,0
34,6,60.25,0,0
36,9,42.47,-0.635,0
42,7,39.89,0.775,0
52,7,36.13,2.64,0
44,7,17.89,-0.33,0
46,9,55.75,-0.22,0
54,6,200.85,3.675,0
30,6,25.74,0.175,0
48,9,20.41,-0.23,0
52,5,50,-0.035,0
78,4,17.15,0.065,0
42,9,41.72,2.355,0
40,4,38.71,-0.435,0
48,9,35.98,-1.09,0
26,4,75.79,1.08,0
56,9,62.25,-1.27,0
34,7,18.2,0.025,0
38,6,35.35,2.215,0
30,7,33.69,1.16,0
54,6,274.93,-9.25,0
38,8,73.05,1.74,0
38,4,34.98,0.005,0
50,6,50,2.83,0
58,7,211.65,-25.37,0
56,3,9.75,-0.01,0
26,8,71.55,-11.965,0
38,5,41.83,-2.15,0
56,5,17.19,0.025,0
32,5,34.99,-0.095,0
26,1,55.4,-1.4,0
80,4,17.15,0.015,0
46,7,145.34,-5.05,0
66,9,20.02,-0.01,0
30,7,30.16,0.24,0
62,7,16.14,0.09,0
46,4,53.24,0.225,0
70,6,30,0,0
54,7,17.84,-0.395,0
32,7,93.41,0.69,0
56,9,487.39,-2.515,0
34,6,61.98,0.745,0
34,6,33.24,0.435,0
42,6,137.36,-5.69,0
54,9,50,-0.305,0
38,3,38.71,0.03,0
46,6,41.28,0.86,0
34,7,188.45,6.36,0
60,6,30,-0.8,0
28,1,50.38,0.4,0
44,3,16.99,0.01,0
50,1,115.14,0.775,0
48,9,68.58,6.225,0
38,8,35.24,-2.275,0
38,6,28.15,-0.66,0
48,1,99.98,2.045,0
38,8,10.34,0.03,0
40,3,39.09,-1.96,0
50,7,39.99,4.725,0
48,6,31.23,-0.805,0
48,5,61.74,-1.155,0
40,9,58.93,-0.375,0
26,1,91.39,-0.43,0
58,6,60.82,-1.14,0
26,6,39.7,1.6,0
54,9,52.59,-0.54,0
56,6,30.27,-0.235,0
34,7,53.22,-5.355,0
30,7,30.77,-0.445,0
54,8,131.79,-5.17,0
46,1,49.99,0.03,0
28,1,31.25,0.355,0
58,9,13.88,-2.69,0
32,1,148.02,1.23,0
42,6,30.87,0,0
52,6,63.59,-1.07,0
76,1,97.48,-7.015,0
28,5,104.93,2.145,0
50,7,35.81,0.105,0
32,3,60.09,1.65,0
30,6,106.51,-0.53,0
26,6,58.15,-1.08,0
42,6,76.81,2.05,0
40,6,41.19,-0.945,0
38,9,30.37,-0.58,0
42,6,54.98,-3.62,0
42,9,56.01,-0.28,0
52,6,32.99,-2.415,0
34,7,34.99,-0.65,0
28,7,43.07,-2.405,0
58,4,30.26,-0.155,0
60,7,31.17,0.55,0
32,2,56.68,0.465,0
48,8,32.23,-0.995,0
24,6,65.49,13.545,0
56,9,62.48,-0.72,0
38,4,25.71,-0.325,0
30,5,31.07,0.465,0
34,5,41.89,0.575,0
34,9,272.91,-2.455,0
56,7,30.26,-0.875,0
42,1,155.33,-3.925,0
56,5,32.78,-0.205,0
48,7,71.53,-1.9,0
48,8,10,0.445,0
44,4,35.31,-4.035,0
38,6,57.89,-2.2,0
30,6,63.98,-2.195,0
42,6,51.18,-0.145,0
34,6,62.27,10.645,0
24,7,33.02,-0.49,0
40,9,251.4,-28.955,0
30,7,50.46,1.065,0
32,6,127.48,0.41,0
44,8,76.97,1.12,0
44,7,51.27,-2.505,0
52,8,34.99,-0.6,0
22,6,69.23,-3.745,0
56,1,41.53,-2.925,0
28,6,96.63,-0.085,0
46,6,126.1,4.69,0
24,6,73.36,7.275,0
58,6,32.49,0.33,0
54,7,82.83,-5.13,0
58,6,16.99,-0.055,0
34,5,38.37,1.205,0
46,4,58.49,-3.305,0
64,8,30,0.015,0
58,4,49.33,-5.225,0
52,8,11.5,-1.105,0
34,3,35.31,-1.895,0
26,6,42.11,0.67,0
